time,frame,num_faces,faces
375.0,10.0,0,"[]"
792.0,20.0,0,"[]"
1210.0,30.0,0,"[]"
1627.0,40.0,0,"[]"
2044.0,50.0,0,"[]"
2461.0,60.0,0,"[]"
2878.0,70.0,0,"[]"
3295.0,80.0,0,"[]"
3712.0,90.0,0,"[]"
4129.0,100.0,0,"[]"
4546.0,110.0,0,"[]"
4963.0,120.0,0,"[]"
5380.0,130.0,0,"[]"
5797.0,140.0,0,"[]"
6215.0,150.0,0,"[]"
6632.0,160.0,0,"[]"
7049.0,170.0,0,"[]"
7466.0,180.0,0,"[]"
7883.0,190.0,0,"[]"
8300.0,200.0,0,"[]"
8717.0,210.0,1,"[{'box': [160, 161, 48, 60], 'confidence': 0.9916709661483765, 'keypoints': {'left_eye': (166, 182), 'right_eye': (187, 182), 'nose': (168, 192), 'mouth_left': (165, 206), 'mouth_right': (182, 207)}}]"
9134.0,220.0,1,"[{'box': [191, 154, 48, 62], 'confidence': 0.9949821829795837, 'keypoints': {'left_eye': (214, 175), 'right_eye': (234, 178), 'nose': (230, 186), 'mouth_left': (214, 199), 'mouth_right': (231, 202)}}]"
9551.0,230.0,1,"[{'box': [191, 158, 49, 66], 'confidence': 0.9871790409088135, 'keypoints': {'left_eye': (217, 182), 'right_eye': (237, 187), 'nose': (232, 198), 'mouth_left': (213, 207), 'mouth_right': (229, 212)}}]"
9968.0,240.0,0,"[]"
10385.0,250.0,1,"[{'box': [386, 82, 54, 81], 'confidence': 0.9689948558807373, 'keypoints': {'left_eye': (416, 113), 'right_eye': (432, 110), 'nose': (434, 127), 'mouth_left': (420, 144), 'mouth_right': (432, 142)}}]"
10802.0,260.0,1,"[{'box': [381, 83, 54, 77], 'confidence': 0.9873782992362976, 'keypoints': {'left_eye': (412, 113), 'right_eye': (428, 111), 'nose': (430, 127), 'mouth_left': (414, 142), 'mouth_right': (427, 142)}}]"
11220.0,270.0,0,"[]"
11637.0,280.0,0,"[]"
12054.0,290.0,0,"[]"
12471.0,300.0,1,"[{'box': [234, 54, 111, 149], 'confidence': 0.9996659755706787, 'keypoints': {'left_eye': (274, 114), 'right_eye': (326, 112), 'nose': (307, 142), 'mouth_left': (277, 169), 'mouth_right': (326, 167)}}]"
12888.0,310.0,1,"[{'box': [229, 60, 114, 141], 'confidence': 0.9998571872711182, 'keypoints': {'left_eye': (270, 108), 'right_eye': (323, 104), 'nose': (304, 133), 'mouth_left': (275, 165), 'mouth_right': (320, 163)}}]"
13305.0,320.0,1,"[{'box': [222, 50, 115, 147], 'confidence': 0.9990068078041077, 'keypoints': {'left_eye': (262, 108), 'right_eye': (315, 105), 'nose': (296, 134), 'mouth_left': (268, 163), 'mouth_right': (316, 161)}}]"
13722.0,330.0,1,"[{'box': [372, 139, 24, 32], 'confidence': 0.747814416885376, 'keypoints': {'left_eye': (381, 151), 'right_eye': (393, 150), 'nose': (389, 158), 'mouth_left': (382, 165), 'mouth_right': (391, 164)}}]"
14139.0,340.0,2,"[{'box': [229, 160, 62, 78], 'confidence': 0.9885828495025635, 'keypoints': {'left_eye': (250, 191), 'right_eye': (280, 193), 'nose': (266, 211), 'mouth_left': (250, 222), 'mouth_right': (275, 224)}}, {'box': [371, 144, 27, 32], 'confidence': 0.9774779081344604, 'keypoints': {'left_eye': (380, 155), 'right_eye': (392, 156), 'nose': (386, 162), 'mouth_left': (380, 168), 'mouth_right': (390, 169)}}]"
14556.0,350.0,1,"[{'box': [305, 147, 93, 113], 'confidence': 0.9949942231178284, 'keypoints': {'left_eye': (341, 188), 'right_eye': (386, 190), 'nose': (368, 214), 'mouth_left': (342, 235), 'mouth_right': (379, 237)}}]"
14973.0,360.0,1,"[{'box': [289, 83, 104, 132], 'confidence': 0.9993656277656555, 'keypoints': {'left_eye': (316, 130), 'right_eye': (365, 133), 'nose': (334, 156), 'mouth_left': (316, 185), 'mouth_right': (354, 189)}}]"
15390.0,370.0,1,"[{'box': [228, 41, 79, 103], 'confidence': 0.998197615146637, 'keypoints': {'left_eye': (254, 78), 'right_eye': (291, 79), 'nose': (277, 94), 'mouth_left': (259, 119), 'mouth_right': (291, 120)}}]"
15807.0,380.0,1,"[{'box': [240, 42, 78, 103], 'confidence': 0.9983975291252136, 'keypoints': {'left_eye': (264, 80), 'right_eye': (302, 80), 'nose': (287, 95), 'mouth_left': (268, 120), 'mouth_right': (302, 120)}}]"
16225.0,390.0,1,"[{'box': [242, 43, 83, 108], 'confidence': 0.9994589686393738, 'keypoints': {'left_eye': (269, 83), 'right_eye': (307, 82), 'nose': (291, 96), 'mouth_left': (274, 124), 'mouth_right': (306, 124)}}]"
16642.0,400.0,1,"[{'box': [232, 49, 82, 109], 'confidence': 0.9985268115997314, 'keypoints': {'left_eye': (259, 88), 'right_eye': (297, 88), 'nose': (284, 105), 'mouth_left': (267, 134), 'mouth_right': (297, 133)}}]"
17059.0,410.0,3,"[{'box': [383, 49, 80, 103], 'confidence': 0.9997908473014832, 'keypoints': {'left_eye': (409, 91), 'right_eye': (444, 90), 'nose': (428, 108), 'mouth_left': (409, 126), 'mouth_right': (446, 125)}}, {'box': [261, 86, 23, 28], 'confidence': 0.9544042348861694, 'keypoints': {'left_eye': (267, 99), 'right_eye': (277, 95), 'nose': (273, 103), 'mouth_left': (271, 110), 'mouth_right': (280, 107)}}, {'box': [90, 100, 22, 27], 'confidence': 0.9381078481674194, 'keypoints': {'left_eye': (95, 110), 'right_eye': (107, 108), 'nose': (101, 115), 'mouth_left': (97, 121), 'mouth_right': (107, 120)}}]"
17476.0,420.0,4,"[{'box': [375, 74, 79, 98], 'confidence': 0.9998108744621277, 'keypoints': {'left_eye': (403, 117), 'right_eye': (437, 114), 'nose': (425, 137), 'mouth_left': (402, 148), 'mouth_right': (438, 146)}}, {'box': [92, 99, 22, 28], 'confidence': 0.9940105080604553, 'keypoints': {'left_eye': (98, 109), 'right_eye': (109, 108), 'nose': (103, 114), 'mouth_left': (99, 120), 'mouth_right': (108, 120)}}, {'box': [263, 84, 22, 29], 'confidence': 0.894453227519989, 'keypoints': {'left_eye': (270, 97), 'right_eye': (280, 95), 'nose': (276, 101), 'mouth_left': (272, 107), 'mouth_right': (282, 105)}}, {'box': [199, 51, 18, 24], 'confidence': 0.8599048256874084, 'keypoints': {'left_eye': (204, 59), 'right_eye': (213, 58), 'nose': (209, 63), 'mouth_left': (205, 69), 'mouth_right': (213, 68)}}]"
17893.0,430.0,6,"[{'box': [110, 109, 23, 30], 'confidence': 0.9992073178291321, 'keypoints': {'left_eye': (116, 120), 'right_eye': (128, 120), 'nose': (121, 126), 'mouth_left': (116, 132), 'mouth_right': (127, 133)}}, {'box': [333, 67, 22, 28], 'confidence': 0.999148964881897, 'keypoints': {'left_eye': (342, 77), 'right_eye': (352, 77), 'nose': (349, 83), 'mouth_left': (343, 88), 'mouth_right': (351, 88)}}, {'box': [174, 93, 21, 28], 'confidence': 0.9989444613456726, 'keypoints': {'left_eye': (181, 103), 'right_eye': (191, 104), 'nose': (185, 109), 'mouth_left': (181, 114), 'mouth_right': (190, 115)}}, {'box': [467, 25, 24, 32], 'confidence': 0.9833000898361206, 'keypoints': {'left_eye': (473, 37), 'right_eye': (484, 36), 'nose': (478, 43), 'mouth_left': (474, 50), 'mouth_right': (484, 49)}}, {'box': [15, 95, 18, 23], 'confidence': 0.9747134447097778, 'keypoints': {'left_eye': (18, 104), 'right_eye': (27, 103), 'nose': (21, 108), 'mouth_left': (19, 112), 'mouth_right': (27, 112)}}, {'box': [408, 79, 58, 73], 'confidence': 0.8932029008865356, 'keypoints': {'left_eye': (423, 102), 'right_eye': (450, 106), 'nose': (430, 116), 'mouth_left': (420, 132), 'mouth_right': (442, 136)}}]"
18310.0,440.0,1,"[{'box': [233, 88, 111, 143], 'confidence': 0.9906909465789795, 'keypoints': {'left_eye': (258, 139), 'right_eye': (310, 144), 'nose': (275, 171), 'mouth_left': (257, 199), 'mouth_right': (300, 204)}}]"
18727.0,450.0,1,"[{'box': [234, 96, 114, 142], 'confidence': 0.9974193572998047, 'keypoints': {'left_eye': (264, 146), 'right_eye': (317, 150), 'nose': (284, 179), 'mouth_left': (264, 205), 'mouth_right': (307, 209)}}]"
19144.0,460.0,1,"[{'box': [553, 108, 38, 42], 'confidence': 0.7739704251289368, 'keypoints': {'left_eye': (567, 125), 'right_eye': (579, 124), 'nose': (571, 126), 'mouth_left': (566, 137), 'mouth_right': (576, 137)}}]"
19561.0,470.0,0,"[]"
19978.0,480.0,0,"[]"
20395.0,490.0,0,"[]"
20812.0,500.0,0,"[]"
21230.0,510.0,0,"[]"
21647.0,520.0,0,"[]"
22064.0,530.0,2,"[{'box': [24, 92, 25, 32], 'confidence': 0.9973415732383728, 'keypoints': {'left_eye': (38, 105), 'right_eye': (47, 104), 'nose': (47, 110), 'mouth_left': (39, 118), 'mouth_right': (47, 117)}}, {'box': [602, 61, 26, 31], 'confidence': 0.7601275444030762, 'keypoints': {'left_eye': (607, 71), 'right_eye': (620, 68), 'nose': (614, 77), 'mouth_left': (610, 85), 'mouth_right': (621, 83)}}]"
22481.0,540.0,1,"[{'box': [125, 75, 26, 36], 'confidence': 0.9891728162765503, 'keypoints': {'left_eye': (137, 88), 'right_eye': (148, 88), 'nose': (146, 95), 'mouth_left': (138, 102), 'mouth_right': (147, 103)}}]"
22898.0,550.0,0,"[]"
23315.0,560.0,1,"[{'box': [313, 81, 85, 107], 'confidence': 0.9916689395904541, 'keypoints': {'left_eye': (328, 119), 'right_eye': (367, 117), 'nose': (337, 135), 'mouth_left': (329, 163), 'mouth_right': (361, 163)}}]"
23732.0,570.0,0,"[]"
24149.0,580.0,1,"[{'box': [296, 49, 95, 110], 'confidence': 0.9993372559547424, 'keypoints': {'left_eye': (322, 88), 'right_eye': (367, 86), 'nose': (344, 101), 'mouth_left': (329, 134), 'mouth_right': (364, 132)}}]"
24566.0,590.0,1,"[{'box': [450, 65, 52, 63], 'confidence': 0.9967756867408752, 'keypoints': {'left_eye': (461, 89), 'right_eye': (486, 88), 'nose': (469, 98), 'mouth_left': (461, 114), 'mouth_right': (481, 114)}}]"
24983.0,600.0,1,"[{'box': [457, 61, 54, 68], 'confidence': 0.9991901516914368, 'keypoints': {'left_eye': (471, 87), 'right_eye': (496, 88), 'nose': (479, 97), 'mouth_left': (469, 112), 'mouth_right': (489, 114)}}]"
25400.0,610.0,1,"[{'box': [457, 61, 56, 69], 'confidence': 0.9959015250205994, 'keypoints': {'left_eye': (471, 87), 'right_eye': (497, 87), 'nose': (481, 96), 'mouth_left': (472, 114), 'mouth_right': (492, 114)}}]"
25817.0,620.0,1,"[{'box': [452, 62, 58, 66], 'confidence': 0.9992052912712097, 'keypoints': {'left_eye': (466, 87), 'right_eye': (493, 84), 'nose': (478, 94), 'mouth_left': (469, 112), 'mouth_right': (492, 111)}}]"
26235.0,630.0,1,"[{'box': [452, 61, 57, 67], 'confidence': 0.996828019618988, 'keypoints': {'left_eye': (466, 85), 'right_eye': (492, 82), 'nose': (478, 92), 'mouth_left': (470, 112), 'mouth_right': (492, 109)}}]"
26652.0,640.0,2,"[{'box': [329, 88, 76, 96], 'confidence': 0.9958401918411255, 'keypoints': {'left_eye': (354, 126), 'right_eye': (390, 123), 'nose': (375, 143), 'mouth_left': (361, 166), 'mouth_right': (390, 164)}}, {'box': [455, 73, 29, 40], 'confidence': 0.9896211624145508, 'keypoints': {'left_eye': (461, 87), 'right_eye': (472, 88), 'nose': (461, 95), 'mouth_left': (458, 103), 'mouth_right': (467, 105)}}]"
27069.0,650.0,1,"[{'box': [426, 75, 31, 43], 'confidence': 0.8436199426651001, 'keypoints': {'left_eye': (432, 90), 'right_eye': (445, 91), 'nose': (434, 99), 'mouth_left': (430, 108), 'mouth_right': (440, 110)}}]"
27486.0,660.0,0,"[]"
27903.0,670.0,1,"[{'box': [294, 79, 78, 96], 'confidence': 0.9977219700813293, 'keypoints': {'left_eye': (314, 110), 'right_eye': (350, 119), 'nose': (323, 134), 'mouth_left': (308, 151), 'mouth_right': (336, 159)}}]"
28320.0,680.0,1,"[{'box': [346, 52, 82, 111], 'confidence': 0.997200608253479, 'keypoints': {'left_eye': (389, 95), 'right_eye': (422, 97), 'nose': (417, 118), 'mouth_left': (392, 141), 'mouth_right': (417, 143)}}]"
28737.0,690.0,2,"[{'box': [251, 124, 41, 52], 'confidence': 0.999046266078949, 'keypoints': {'left_eye': (268, 141), 'right_eye': (287, 144), 'nose': (281, 151), 'mouth_left': (269, 163), 'mouth_right': (283, 165)}}, {'box': [344, 121, 70, 91], 'confidence': 0.9923198819160461, 'keypoints': {'left_eye': (354, 154), 'right_eye': (384, 153), 'nose': (359, 171), 'mouth_left': (353, 193), 'mouth_right': (379, 193)}}]"
29154.0,700.0,0,"[]"
29571.0,710.0,2,"[{'box': [228, 115, 49, 64], 'confidence': 0.9994476437568665, 'keypoints': {'left_eye': (252, 138), 'right_eye': (273, 144), 'nose': (266, 151), 'mouth_left': (250, 164), 'mouth_right': (265, 169)}}, {'box': [68, 79, 54, 80], 'confidence': 0.9465050101280212, 'keypoints': {'left_eye': (102, 113), 'right_eye': (116, 109), 'nose': (122, 124), 'mouth_left': (108, 144), 'mouth_right': (119, 141)}}]"
29988.0,720.0,2,"[{'box': [212, 118, 53, 68], 'confidence': 0.9995978474617004, 'keypoints': {'left_eye': (236, 140), 'right_eye': (259, 145), 'nose': (253, 155), 'mouth_left': (236, 168), 'mouth_right': (253, 173)}}, {'box': [5, 65, 70, 104], 'confidence': 0.9947920441627502, 'keypoints': {'left_eye': (46, 103), 'right_eye': (68, 103), 'nose': (71, 123), 'mouth_left': (50, 148), 'mouth_right': (66, 148)}}]"
30405.0,730.0,1,"[{'box': [183, 115, 60, 79], 'confidence': 0.999871015548706, 'keypoints': {'left_eye': (211, 142), 'right_eye': (237, 147), 'nose': (230, 157), 'mouth_left': (209, 174), 'mouth_right': (230, 179)}}]"
30822.0,740.0,1,"[{'box': [146, 110, 68, 90], 'confidence': 0.9999260902404785, 'keypoints': {'left_eye': (178, 139), 'right_eye': (208, 146), 'nose': (199, 157), 'mouth_left': (176, 176), 'mouth_right': (199, 181)}}]"
31240.0,750.0,0,"[]"
31657.0,760.0,1,"[{'box': [136, 165, 21, 28], 'confidence': 0.7030035257339478, 'keypoints': {'left_eye': (142, 175), 'right_eye': (150, 175), 'nose': (146, 182), 'mouth_left': (143, 188), 'mouth_right': (150, 187)}}]"
32074.0,770.0,0,"[]"
32491.0,780.0,1,"[{'box': [134, 166, 20, 27], 'confidence': 0.7439425587654114, 'keypoints': {'left_eye': (138, 175), 'right_eye': (148, 177), 'nose': (142, 182), 'mouth_left': (138, 188), 'mouth_right': (146, 188)}}]"
32908.0,790.0,1,"[{'box': [361, 35, 48, 61], 'confidence': 0.9789673686027527, 'keypoints': {'left_eye': (369, 57), 'right_eye': (390, 53), 'nose': (376, 69), 'mouth_left': (375, 84), 'mouth_right': (392, 81)}}]"
33325.0,800.0,1,"[{'box': [362, 44, 46, 58], 'confidence': 0.9934456944465637, 'keypoints': {'left_eye': (371, 65), 'right_eye': (392, 62), 'nose': (380, 78), 'mouth_left': (377, 90), 'mouth_right': (393, 88)}}]"
33742.0,810.0,2,"[{'box': [308, 59, 52, 65], 'confidence': 0.9950997233390808, 'keypoints': {'left_eye': (331, 83), 'right_eye': (355, 82), 'nose': (351, 95), 'mouth_left': (337, 113), 'mouth_right': (355, 112)}}, {'box': [364, 45, 17, 20], 'confidence': 0.7455191612243652, 'keypoints': {'left_eye': (370, 52), 'right_eye': (378, 53), 'nose': (373, 57), 'mouth_left': (369, 61), 'mouth_right': (375, 62)}}]"
34159.0,820.0,1,"[{'box': [262, 65, 57, 71], 'confidence': 0.9983150959014893, 'keypoints': {'left_eye': (277, 90), 'right_eye': (304, 91), 'nose': (288, 105), 'mouth_left': (279, 120), 'mouth_right': (301, 121)}}]"
34576.0,830.0,1,"[{'box': [361, 42, 17, 22], 'confidence': 0.8387081623077393, 'keypoints': {'left_eye': (367, 51), 'right_eye': (375, 50), 'nose': (371, 55), 'mouth_left': (368, 60), 'mouth_right': (375, 59)}}]"
34993.0,840.0,1,"[{'box': [84, 100, 81, 116], 'confidence': 0.9678703546524048, 'keypoints': {'left_eye': (131, 144), 'right_eye': (158, 145), 'nose': (161, 164), 'mouth_left': (138, 191), 'mouth_right': (158, 191)}}]"
35410.0,850.0,0,"[]"
35827.0,860.0,0,"[]"
36245.0,870.0,2,"[{'box': [155, 42, 117, 146], 'confidence': 0.9975231289863586, 'keypoints': {'left_eye': (181, 101), 'right_eye': (235, 96), 'nose': (204, 134), 'mouth_left': (194, 161), 'mouth_right': (235, 157)}}, {'box': [477, 9, 57, 73], 'confidence': 0.9948716163635254, 'keypoints': {'left_eye': (506, 37), 'right_eye': (530, 37), 'nose': (526, 49), 'mouth_left': (511, 68), 'mouth_right': (528, 68)}}]"
36662.0,880.0,2,"[{'box': [162, 56, 120, 149], 'confidence': 0.9995658993721008, 'keypoints': {'left_eye': (188, 117), 'right_eye': (243, 114), 'nose': (209, 153), 'mouth_left': (199, 176), 'mouth_right': (245, 174)}}, {'box': [490, 23, 57, 74], 'confidence': 0.9953460097312927, 'keypoints': {'left_eye': (517, 52), 'right_eye': (542, 54), 'nose': (536, 64), 'mouth_left': (520, 83), 'mouth_right': (538, 83)}}]"
37079.0,890.0,2,"[{'box': [170, 58, 118, 145], 'confidence': 0.9997884631156921, 'keypoints': {'left_eye': (192, 116), 'right_eye': (246, 114), 'nose': (212, 152), 'mouth_left': (203, 175), 'mouth_right': (246, 173)}}, {'box': [500, 28, 56, 73], 'confidence': 0.9920631051063538, 'keypoints': {'left_eye': (526, 58), 'right_eye': (552, 59), 'nose': (544, 70), 'mouth_left': (529, 89), 'mouth_right': (547, 90)}}]"
37496.0,900.0,2,"[{'box': [499, 49, 56, 69], 'confidence': 0.9991297125816345, 'keypoints': {'left_eye': (521, 80), 'right_eye': (547, 77), 'nose': (537, 93), 'mouth_left': (523, 107), 'mouth_right': (545, 105)}}, {'box': [163, 60, 116, 143], 'confidence': 0.9991276860237122, 'keypoints': {'left_eye': (186, 118), 'right_eye': (239, 115), 'nose': (206, 152), 'mouth_left': (196, 176), 'mouth_right': (240, 173)}}]"
37913.0,910.0,1,"[{'box': [277, 56, 117, 146], 'confidence': 0.9995554089546204, 'keypoints': {'left_eye': (297, 111), 'right_eye': (350, 110), 'nose': (314, 142), 'mouth_left': (304, 168), 'mouth_right': (350, 167)}}]"
38330.0,920.0,1,"[{'box': [278, 53, 117, 149], 'confidence': 0.9993282556533813, 'keypoints': {'left_eye': (298, 111), 'right_eye': (351, 110), 'nose': (315, 143), 'mouth_left': (303, 165), 'mouth_right': (352, 165)}}]"
38747.0,930.0,1,"[{'box': [275, 56, 122, 152], 'confidence': 0.9988142251968384, 'keypoints': {'left_eye': (298, 116), 'right_eye': (352, 115), 'nose': (316, 151), 'mouth_left': (304, 174), 'mouth_right': (353, 174)}}]"
39164.0,940.0,1,"[{'box': [274, 63, 113, 146], 'confidence': 0.9965468049049377, 'keypoints': {'left_eye': (294, 117), 'right_eye': (345, 116), 'nose': (308, 149), 'mouth_left': (299, 172), 'mouth_right': (343, 172)}}]"
39581.0,950.0,1,"[{'box': [269, 61, 115, 148], 'confidence': 0.9983312487602234, 'keypoints': {'left_eye': (289, 116), 'right_eye': (342, 113), 'nose': (307, 147), 'mouth_left': (298, 175), 'mouth_right': (341, 173)}}]"
39998.0,960.0,1,"[{'box': [210, 54, 89, 115], 'confidence': 0.9964399933815002, 'keypoints': {'left_eye': (240, 98), 'right_eye': (281, 95), 'nose': (264, 116), 'mouth_left': (247, 144), 'mouth_right': (281, 141)}}]"
40415.0,970.0,1,"[{'box': [200, 58, 90, 114], 'confidence': 0.9979366064071655, 'keypoints': {'left_eye': (229, 102), 'right_eye': (271, 98), 'nose': (253, 121), 'mouth_left': (237, 147), 'mouth_right': (272, 144)}}]"
40832.0,980.0,1,"[{'box': [194, 57, 93, 120], 'confidence': 0.9937605261802673, 'keypoints': {'left_eye': (224, 104), 'right_eye': (267, 101), 'nose': (247, 123), 'mouth_left': (232, 150), 'mouth_right': (266, 148)}}]"
41250.0,990.0,0,"[]"
41667.0,1000.0,1,"[{'box': [333, 76, 94, 120], 'confidence': 0.9998757839202881, 'keypoints': {'left_eye': (365, 125), 'right_eye': (408, 119), 'nose': (397, 145), 'mouth_left': (376, 172), 'mouth_right': (413, 166)}}]"
42084.0,1010.0,1,"[{'box': [332, 81, 94, 118], 'confidence': 0.9998595714569092, 'keypoints': {'left_eye': (363, 128), 'right_eye': (407, 124), 'nose': (392, 149), 'mouth_left': (371, 176), 'mouth_right': (409, 172)}}]"
42501.0,1020.0,1,"[{'box': [332, 80, 95, 118], 'confidence': 0.9998906850814819, 'keypoints': {'left_eye': (364, 128), 'right_eye': (408, 125), 'nose': (393, 150), 'mouth_left': (371, 176), 'mouth_right': (410, 173)}}]"
42918.0,1030.0,1,"[{'box': [331, 72, 98, 127], 'confidence': 0.9991137385368347, 'keypoints': {'left_eye': (366, 126), 'right_eye': (410, 122), 'nose': (396, 147), 'mouth_left': (372, 174), 'mouth_right': (410, 171)}}]"
43335.0,1040.0,1,"[{'box': [328, 70, 95, 125], 'confidence': 0.9990077614784241, 'keypoints': {'left_eye': (370, 120), 'right_eye': (413, 119), 'nose': (402, 142), 'mouth_left': (376, 169), 'mouth_right': (412, 168)}}]"
43752.0,1050.0,1,"[{'box': [340, 72, 92, 120], 'confidence': 0.9994542002677917, 'keypoints': {'left_eye': (374, 121), 'right_eye': (417, 119), 'nose': (404, 143), 'mouth_left': (378, 167), 'mouth_right': (417, 166)}}]"
44169.0,1060.0,0,"[]"
44586.0,1070.0,0,"[]"
45003.0,1080.0,0,"[]"
45420.0,1090.0,0,"[]"
45837.0,1100.0,0,"[]"
46255.0,1110.0,0,"[]"
46672.0,1120.0,0,"[]"
47089.0,1130.0,1,"[{'box': [227, 100, 117, 145], 'confidence': 0.9553828239440918, 'keypoints': {'left_eye': (276, 153), 'right_eye': (322, 153), 'nose': (307, 187), 'mouth_left': (278, 212), 'mouth_right': (314, 213)}}]"
47506.0,1140.0,1,"[{'box': [253, 89, 146, 187], 'confidence': 0.9876011610031128, 'keypoints': {'left_eye': (296, 159), 'right_eye': (364, 162), 'nose': (328, 200), 'mouth_left': (297, 231), 'mouth_right': (354, 234)}}]"
47923.0,1150.0,1,"[{'box': [291, 74, 140, 178], 'confidence': 0.9985430240631104, 'keypoints': {'left_eye': (339, 139), 'right_eye': (403, 146), 'nose': (368, 178), 'mouth_left': (334, 207), 'mouth_right': (391, 215)}}]"
48340.0,1160.0,0,"[]"
48757.0,1170.0,1,"[{'box': [288, 78, 139, 179], 'confidence': 0.9954745173454285, 'keypoints': {'left_eye': (336, 140), 'right_eye': (400, 150), 'nose': (366, 182), 'mouth_left': (329, 210), 'mouth_right': (382, 220)}}]"
49174.0,1180.0,0,"[]"
49591.0,1190.0,1,"[{'box': [304, 78, 137, 174], 'confidence': 0.9981293082237244, 'keypoints': {'left_eye': (351, 140), 'right_eye': (414, 151), 'nose': (379, 181), 'mouth_left': (342, 208), 'mouth_right': (396, 218)}}]"
50008.0,1200.0,1,"[{'box': [241, 74, 140, 176], 'confidence': 0.9996916055679321, 'keypoints': {'left_eye': (285, 137), 'right_eye': (350, 141), 'nose': (314, 176), 'mouth_left': (286, 208), 'mouth_right': (339, 212)}}]"
50425.0,1210.0,1,"[{'box': [266, 60, 148, 183], 'confidence': 0.9937717318534851, 'keypoints': {'left_eye': (298, 123), 'right_eye': (368, 127), 'nose': (318, 164), 'mouth_left': (294, 198), 'mouth_right': (357, 202)}}]"
