Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,0,00:00:00.000,0.000,120,00:00:05.005,5.005,120,00:00:05.005,5.005
2,120,00:00:05.005,5.005,156,00:00:06.506,6.506,36,00:00:01.501,1.501
3,156,00:00:06.506,6.506,201,00:00:08.383,8.383,45,00:00:01.877,1.877
4,201,00:00:08.383,8.383,233,00:00:09.718,9.718,32,00:00:01.335,1.335
5,233,00:00:09.718,9.718,265,00:00:11.053,11.053,32,00:00:01.335,1.335
6,265,00:00:11.053,11.053,295,00:00:12.304,12.304,30,00:00:01.251,1.251
7,295,00:00:12.304,12.304,323,00:00:13.472,13.472,28,00:00:01.168,1.168
8,323,00:00:13.472,13.472,364,00:00:15.182,15.182,41,00:00:01.710,1.710
9,364,00:00:15.182,15.182,408,00:00:17.017,17.017,44,00:00:01.835,1.835
10,408,00:00:17.017,17.017,424,00:00:17.684,17.684,16,00:00:00.667,0.667
11,424,00:00:17.684,17.684,439,00:00:18.310,18.310,15,00:00:00.626,0.626
12,439,00:00:18.310,18.310,461,00:00:19.228,19.228,22,00:00:00.918,0.918
13,461,00:00:19.228,19.228,479,00:00:19.978,19.978,18,00:00:00.751,0.751
14,479,00:00:19.978,19.978,505,00:00:21.063,21.063,26,00:00:01.084,1.084
15,505,00:00:21.063,21.063,519,00:00:21.647,21.647,14,00:00:00.584,0.584
16,519,00:00:21.647,21.647,544,00:00:22.689,22.689,25,00:00:01.043,1.043
17,544,00:00:22.689,22.689,566,00:00:23.607,23.607,22,00:00:00.918,0.918
18,566,00:00:23.607,23.607,581,00:00:24.233,24.233,15,00:00:00.626,0.626
19,581,00:00:24.233,24.233,638,00:00:26.610,26.610,57,00:00:02.377,2.377
20,638,00:00:26.610,26.610,680,00:00:28.362,28.362,42,00:00:01.752,1.752
21,680,00:00:28.362,28.362,740,00:00:30.864,30.864,60,00:00:02.502,2.502
22,740,00:00:30.864,30.864,786,00:00:32.783,32.783,46,00:00:01.919,1.919
23,786,00:00:32.783,32.783,805,00:00:33.575,33.575,19,00:00:00.792,0.792
24,805,00:00:33.575,33.575,835,00:00:34.826,34.826,30,00:00:01.251,1.251
25,835,00:00:34.826,34.826,849,00:00:35.410,35.410,14,00:00:00.584,0.584
26,849,00:00:35.410,35.410,863,00:00:35.994,35.994,14,00:00:00.584,0.584
27,863,00:00:35.994,35.994,901,00:00:37.579,37.579,38,00:00:01.585,1.585
28,901,00:00:37.579,37.579,951,00:00:39.665,39.665,50,00:00:02.085,2.085
29,951,00:00:39.665,39.665,998,00:00:41.625,41.625,47,00:00:01.960,1.960
30,998,00:00:41.625,41.625,1054,00:00:43.961,43.961,56,00:00:02.336,2.336
31,1054,00:00:43.961,43.961,1102,00:00:45.963,45.963,48,00:00:02.002,2.002
32,1102,00:00:45.963,45.963,1207,00:00:50.342,50.342,105,00:00:04.379,4.379
33,1207,00:00:50.342,50.342,1246,00:00:51.969,51.969,39,00:00:01.627,1.627
34,1246,00:00:51.969,51.969,1272,00:00:53.053,53.053,26,00:00:01.084,1.084
35,1272,00:00:53.053,53.053,1325,00:00:55.264,55.264,53,00:00:02.211,2.211
36,1325,00:00:55.264,55.264,1353,00:00:56.431,56.431,28,00:00:01.168,1.168
37,1353,00:00:56.431,56.431,1421,00:00:59.268,59.268,68,00:00:02.836,2.836
38,1421,00:00:59.268,59.268,1481,00:01:01.770,61.770,60,00:00:02.502,2.502
39,1481,00:01:01.770,61.770,1518,00:01:03.313,63.313,37,00:00:01.543,1.543
40,1518,00:01:03.313,63.313,1571,00:01:05.524,65.524,53,00:00:02.211,2.211
41,1571,00:01:05.524,65.524,1619,00:01:07.526,67.526,48,00:00:02.002,2.002
42,1619,00:01:07.526,67.526,1648,00:01:08.735,68.735,29,00:00:01.210,1.210
43,1648,00:01:08.735,68.735,1664,00:01:09.403,69.403,16,00:00:00.667,0.667
44,1664,00:01:09.403,69.403,1686,00:01:10.320,70.320,22,00:00:00.918,0.918
45,1686,00:01:10.320,70.320,1722,00:01:11.822,71.822,36,00:00:01.501,1.501
46,1722,00:01:11.822,71.822,1741,00:01:12.614,72.614,19,00:00:00.792,0.792
47,1741,00:01:12.614,72.614,1763,00:01:13.532,73.532,22,00:00:00.918,0.918
48,1763,00:01:13.532,73.532,1780,00:01:14.241,74.241,17,00:00:00.709,0.709
49,1780,00:01:14.241,74.241,1802,00:01:15.158,75.158,22,00:00:00.918,0.918
50,1802,00:01:15.158,75.158,1871,00:01:18.036,78.036,69,00:00:02.878,2.878
51,1871,00:01:18.036,78.036,1898,00:01:19.162,79.162,27,00:00:01.126,1.126
52,1898,00:01:19.162,79.162,1945,00:01:21.123,81.123,47,00:00:01.960,1.960
53,1945,00:01:21.123,81.123,2002,00:01:23.500,83.500,57,00:00:02.377,2.377
54,2002,00:01:23.500,83.500,2027,00:01:24.543,84.543,25,00:00:01.043,1.043
55,2027,00:01:24.543,84.543,2054,00:01:25.669,85.669,27,00:00:01.126,1.126
56,2054,00:01:25.669,85.669,2091,00:01:27.212,87.212,37,00:00:01.543,1.543
57,2091,00:01:27.212,87.212,2120,00:01:28.422,88.422,29,00:00:01.210,1.210
58,2120,00:01:28.422,88.422,2136,00:01:29.089,89.089,16,00:00:00.667,0.667
59,2136,00:01:29.089,89.089,2182,00:01:31.008,91.008,46,00:00:01.919,1.919
60,2182,00:01:31.008,91.008,2229,00:01:32.968,92.968,47,00:00:01.960,1.960
61,2229,00:01:32.968,92.968,2258,00:01:34.177,94.177,29,00:00:01.210,1.210
62,2258,00:01:34.177,94.177,2287,00:01:35.387,95.387,29,00:00:01.210,1.210
63,2287,00:01:35.387,95.387,2350,00:01:38.015,98.015,63,00:00:02.628,2.628
64,2350,00:01:38.015,98.015,2474,00:01:43.186,103.186,124,00:00:05.172,5.172
65,2474,00:01:43.186,103.186,2495,00:01:44.062,104.062,21,00:00:00.876,0.876
66,2495,00:01:44.062,104.062,2526,00:01:45.355,105.355,31,00:00:01.293,1.293
67,2526,00:01:45.355,105.355,2551,00:01:46.398,106.398,25,00:00:01.043,1.043
68,2551,00:01:46.398,106.398,2628,00:01:49.609,109.609,77,00:00:03.212,3.212
69,2628,00:01:49.609,109.609,2726,00:01:53.697,113.697,98,00:00:04.087,4.087
70,2726,00:01:53.697,113.697,2794,00:01:56.533,116.533,68,00:00:02.836,2.836
71,2794,00:01:56.533,116.533,2817,00:01:57.492,117.492,23,00:00:00.959,0.959
